,created_at,id_str,text,source,in_reply_to_user_id,in_reply_to_screen_name,in_reply_to_status_id,retweet_count,contributors
61,Tue Nov 05 00:00:04 +0000 2013,397513609741225985,"@windidamarr kalo itu makasih deh win, makasih banget :'(  kalo digarden aku mau deh.","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",406726895,windidamarr,397512377526018050,0,NULL
62,Tue Nov 05 00:00:04 +0000 2013,397513609720647680,"RT @AnaPolii: Las oficinas de vevo en estos momentos:
#VevoGiveUsOur13MillionViewsBack http://t.co/AER9feB2hw","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
63,Tue Nov 05 00:00:04 +0000 2013,397513609712250881,@38la6fi بس مانبي جن http://t.co/ma39s3bDur,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1662150362,38la6fi,397511671629217800,0,NULL
64,Tue Nov 05 00:00:04 +0000 2013,397513609720250368,Banquet selfie http://t.co/QWGseOrCdm,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>",NULL,NULL,NULL,0,NULL
65,Tue Nov 05 00:00:05 +0000 2013,397513613901975552,"http://t.co/llNY2N1aRC скачать хорошую но маленькую программу учет склад и продажи
 http://t.co/llNY2N1aRC","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",NULL,NULL,NULL,0,NULL
66,Tue Nov 05 00:00:05 +0000 2013,397513613918760960,"Itu makanya om jangan terlalu milih2 hahhaha RT @Ommar1976: @Arsion_Silaban harus ""om yg sudah menemukan cinta nya""","<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",NULL,NULL,NULL,0,NULL
67,Tue Nov 05 00:00:05 +0000 2013,397513613910364160,悟也と脳味噌交換したいな。そうしたら、悟也の考えてる事全部わかるかな？,"<a href=""http://winter.vivian.jp/tdbot/"" rel=""nofollow"">あなたの知らないどこか</a>",NULL,NULL,NULL,0,NULL
68,Tue Nov 05 00:00:05 +0000 2013,397513613922942976,"Por favor espero que haya Wifi en el hotel, sino incomunicada con el mundo",web,NULL,NULL,NULL,0,NULL
69,Tue Nov 05 00:00:05 +0000 2013,397513613935521792,I then listened to meek mills lit oo killem song like 8 times today,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
70,Tue Nov 05 00:00:05 +0000 2013,397513613918736385,『カナダの原野を3ヶ月さまよったハイカー　襲い掛かる熊を追い払った愛犬を食べ生還　非難の声も』芸能ニュース24｜http://t.co/MlrTRSsg5L,"<a href=""http://blog.seesaa.jp/"" rel=""nofollow"">SeesaaBlog</a>",NULL,NULL,NULL,0,NULL
71,Tue Nov 05 00:00:05 +0000 2013,397513613922942977,@KLetts Happy Birthday! 😊,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",619775306,KLetts,NULL,0,NULL
72,Tue Nov 05 00:00:05 +0000 2013,397513613901955072,胸の大きさなんて関係ないと思います。,"<a href=""http://minuet.sub.jp/carrot-ueshimasan.html"" rel=""nofollow"">人参畑</a>",NULL,NULL,NULL,0,NULL
73,Tue Nov 05 00:00:05 +0000 2013,397513613939728384,Mama told me to watch these bitches. Dad told me to watch these niggas.,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NULL,NULL,NULL,0,NULL
74,Tue Nov 05 00:00:05 +0000 2013,397513613901971456,"　tOccxAr
：변화

- jUmbAdjA","<a href=""http://sgsg.egloos.com"" rel=""nofollow"">EB_temp_ArtoSurge</a>",NULL,NULL,NULL,0,NULL
75,Tue Nov 05 00:00:05 +0000 2013,397513613918752768,Amo a valentina,web,NULL,NULL,NULL,0,NULL
76,Tue Nov 05 00:00:05 +0000 2013,397513613931323392,"RT @narryargh: ""vevo finished the count""

""vevo hasn't finished the count""

""we beat the record""

""we didnt""

[flo ridas voice]
u spin my h…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
77,Tue Nov 05 00:00:05 +0000 2013,397513613918736384,http://t.co/woOOZXAauc инструкция подразделений дорожной инспекции http://t.co/SPJBFfaZxJ мануалсхема d840,web,NULL,NULL,NULL,0,NULL
78,Tue Nov 05 00:00:05 +0000 2013,397513613935513600,quero mais treta na novela osadispfoisd,web,NULL,NULL,NULL,0,NULL
79,Tue Nov 05 00:00:05 +0000 2013,397513613906153472,@wishbeatles esse ship is over.,web,1323605060,wishbeatles,397513338428870660,0,NULL
80,Tue Nov 05 00:00:05 +0000 2013,397513613927129088,I feel like one of my lecturers is secretly a pornstar or on some Fifty Shades shit.,web,NULL,NULL,NULL,0,NULL
81,Tue Nov 05 00:00:05 +0000 2013,397513613910343680,kkkkk manda minha mae final de semana ir pra manhu so volta domingo anoite kkkkkkkkkkkkkkkkkkk,web,NULL,NULL,NULL,0,NULL
82,Tue Nov 05 00:00:05 +0000 2013,397513613931335680,@fumi_1108 いや、それうちも思うから大丈夫ｗｗｗｗｗｗガタッってなれ！とかｗｗｗｗｗｗｗｗｗｗｗｗ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",394473167,fumi_1108,397511893465575400,0,NULL
83,Tue Nov 05 00:00:05 +0000 2013,397513613939732481,"RT @NFL_Stats: Some Eli Manning Faces to enjoy:

#Giants http://t.co/Z7RTqk85DI","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
84,Tue Nov 05 00:00:05 +0000 2013,397513613918740480,como aaa gnt mudoou com esse passar dos anoos ...,web,NULL,NULL,NULL,0,NULL
85,Tue Nov 05 00:00:05 +0000 2013,397513613906165760,IT'S MY BLUDCLARRRRT BIRTHDAY NIGGAAAAAAAA💃😫🎉1⃣8⃣,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
86,Tue Nov 05 00:00:05 +0000 2013,397513613914562560,"Yang kek gituan, buang aja ke empang""@fyrubiee: Kalo udah Follow, jangan main Unfoll bisa ? Jangan Sok Famous juseyeo (⌒˛⌒) let's be fri","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",NULL,NULL,NULL,0,NULL
87,Tue Nov 05 00:00:05 +0000 2013,397513613901963264,I’m holding on forever. Reaching for a love that seem so far,web,NULL,NULL,NULL,0,NULL
88,Tue Nov 05 00:00:05 +0000 2013,397513613906165761,"RT @sluttyboyRoe: We Live Ina Generation Were Goin Back &amp; Forth To Jail Is COOL, Smokin &amp; Drinkin Is COOL, Havin Babies Is A TREND &amp; LOVE I…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
89,Tue Nov 05 00:00:05 +0000 2013,397513613902368768,Y hasta cruce  algunas miradas con el dj.,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",NULL,NULL,NULL,0,NULL
